temperature,rainfall,humidity,yeild_apples
25.00,76.00,99.00,3451.00
39.00,65.00,70.00,2984.00
59.00,45.00,77.00,3063.00
84.00,63.00,38.00,3124.00
66.00,50.00,52.00,2840.00
41.00,94.00,77.00,3657.00
91.00,57.00,96.00,4114.00
49.00,96.00,99.00,4195.00
67.00,20.00,28.00,1908.00
85.00,31.00,95.00,3533.00
78.00,46.00,34.00,2654.00
31.00,40.00,63.00,2287.00
52.00,77.00,85.00,3663.00
28.00,66.00,77.00,2945.00
32.00,50.00,57.00,2381.00
31.00,79.00,53.00,2819.00
45.00,76.00,48.00,2904.00
80.00,52.00,27.00,2675.00
24.00,45.00,90.00,2724.00
20.00,89.00,84.00,3350.00
32.00,20.00,96.00,2504.00
56.00,44.00,74.00,2946.00
93.00,70.00,80.00,4108.00
62.00,87.00,73.00,3799.00
85.00,48.00,90.00,3754.00
87.00,86.00,93.00,4521.00
43.00,57.00,69.00,2887.00
28.00,71.00,44.00,2474.00
44.00,95.00,58.00,3400.00
88.00,48.00,46.00,3054.00
80.00,50.00,38.00,2826.00
27.00,75.00,89.00,3295.00
93.00,61.00,73.00,3827.00
31.00,87.00,62.00,3116.00
38.00,94.00,44.00,3048.00
55.00,93.00,55.00,3489.00
56.00,22.00,47.00,2091.00
38.00,64.00,79.00,3103.00
26.00,22.00,40.00,1492.00
27.00,98.00,24.00,2604.00
55.00,37.00,38.00,2192.00
63.00,69.00,46.00,3032.00
21.00,34.00,21.00,1305.00
31.00,89.00,85.00,3543.00
45.00,69.00,91.00,3509.00
48.00,86.00,77.00,3625.00
27.00,51.00,27.00,1809.00
40.00,47.00,88.00,2982.00
29.00,45.00,69.00,2447.00
35.00,55.00,85.00,2995.00
62.00,43.00,58.00,2752.00
67.00,95.00,54.00,3700.00
35.00,46.00,55.00,2323.00
36.00,75.00,28.00,2402.00
97.00,62.00,87.00,4147.00
29.00,52.00,25.00,1825.00
31.00,26.00,72.00,2188.00
94.00,100.00,59.00,4307.00
47.00,52.00,76.00,2980.00
46.00,52.00,70.00,2862.00
40.00,68.00,72.00,3088.00
35.00,27.00,84.00,2474.00
69.00,96.00,29.00,3325.00
69.00,57.00,52.00,3014.00
33.00,45.00,71.00,2545.00
88.00,95.00,82.00,4512.00
48.00,90.00,69.00,3561.00
55.00,78.00,66.00,3406.00
28.00,44.00,67.00,2379.00
34.00,58.00,27.00,2047.00
62.00,46.00,89.00,3333.00
92.00,78.00,89.00,4389.00
20.00,69.00,70.00,2752.00
88.00,49.00,65.00,3395.00
56.00,83.00,36.00,3002.00
51.00,67.00,54.00,2940.00
47.00,50.00,71.00,2859.00
32.00,94.00,71.00,3411.00
33.00,21.00,96.00,2538.00
100.00,81.00,69.00,4231.00
31.00,58.00,22.00,1914.00
74.00,96.00,33.00,3473.00
79.00,98.00,99.00,4711.00
49.00,76.00,38.00,2798.00
78.00,51.00,79.00,3509.00
28.00,51.00,62.00,2420.00
43.00,49.00,55.00,2505.00
73.00,62.00,50.00,3134.00
41.00,59.00,78.00,3044.00
44.00,31.00,52.00,2146.00
29.00,97.00,29.00,2703.00
38.00,75.00,60.00,2978.00
68.00,60.00,29.00,2661.00
46.00,71.00,37.00,2643.00
44.00,39.00,49.00,2239.00
25.00,78.00,31.00,2331.00
52.00,84.00,47.00,3143.00
20.00,98.00,71.00,3291.00
99.00,47.00,67.00,3569.00
68.00,83.00,94.00,4180.00
38.00,90.00,20.00,2568.00
99.00,67.00,43.00,3521.00
53.00,71.00,39.00,2789.00
85.00,30.00,49.00,2733.00
90.00,20.00,43.00,2531.00
62.00,67.00,38.00,2844.00
81.00,81.00,78.00,4080.00
23.00,69.00,65.00,2715.00
86.00,66.00,22.00,2938.00
58.00,89.00,76.00,3822.00
28.00,51.00,88.00,2862.00
98.00,33.00,76.00,3454.00
41.00,22.00,84.00,2480.00
52.00,69.00,60.00,3094.00
46.00,68.00,38.00,2606.00
87.00,35.00,54.00,2940.00
37.00,76.00,74.00,3218.00
86.00,80.00,40.00,3496.00
57.00,86.00,45.00,3225.00
31.00,94.00,87.00,3667.00
45.00,31.00,46.00,2060.00
26.00,20.00,31.00,1303.00
56.00,36.00,68.00,2700.00
96.00,96.00,48.00,4080.00
35.00,57.00,23.00,1977.00
51.00,28.00,78.00,2646.00
44.00,40.00,78.00,2750.00
69.00,44.00,78.00,3222.00
52.00,29.00,84.00,2782.00
49.00,91.00,85.00,3867.00
44.00,45.00,51.00,2381.00
92.00,48.00,78.00,3662.00
37.00,30.00,42.00,1846.00
62.00,34.00,59.00,2607.00
66.00,71.00,61.00,3371.00
100.00,77.00,20.00,3326.00
95.00,30.00,25.00,2485.00
86.00,45.00,100.00,3886.00
70.00,60.00,99.00,3883.00
37.00,36.00,55.00,2175.00
50.00,33.00,26.00,1836.00
33.00,40.00,64.00,2336.00
86.00,98.00,25.00,3565.00
57.00,75.00,21.00,2619.00
53.00,24.00,73.00,2521.00
34.00,78.00,23.00,2339.00
55.00,45.00,42.00,2404.00
89.00,84.00,82.00,4330.00
68.00,47.00,84.00,3362.00
48.00,87.00,38.00,2980.00
45.00,67.00,67.00,3065.00
44.00,29.00,77.00,2535.00
79.00,72.00,58.00,3546.00
31.00,70.00,96.00,3388.00
31.00,73.00,49.00,2643.00
92.00,56.00,85.00,3925.00
69.00,60.00,85.00,3629.00
66.00,26.00,35.00,2119.00
94.00,81.00,79.00,4305.00
29.00,71.00,65.00,2847.00
23.00,97.00,21.00,2471.00
74.00,64.00,85.00,3781.00
